x1,x2
1.5436400415855356,2.9705897391425653
1.7405257764882158,3.4477432748435572
1.7139265813224474,2.9257053100485524
2.905881172022365,3.4673758596348363
2.070042556218378,2.518974091093984
2.437526398596674,3.1695768688283303
2.137057418657837,3.1561846909704827
1.7570451243586578,2.638866404946366
2.333213177539793,3.0759795693598146
1.7861140697710158,2.8441566498146864
2.137861211184525,3.179137067478718
1.4891190961584235,2.841973730213942
1.2358262207276651,3.2189000790593965
1.9787751101478277,3.4031580867387388
1.7974192990023423,3.176454363509335
1.9821075356064874,3.450438770470057
2.260281334570959,2.9340092952673937
1.898485722639482,3.3241781011011935
1.660671998349562,3.18021349734572
3.304638582627927,3.2222821056063875
2.203982893396917,3.1971140386556876
1.727650839791159,2.7751705489295238
1.6714839140387527,3.650466113377935
1.812792366133141,2.8955875622556686
2.3212999676994306,2.9449280674253497
1.840378861898234,2.5865107287969127
1.9899913320713003,2.9171752587190856
1.5366311215600503,3.1062299489206184
2.3754212635819814,3.3777097074737843
1.9002469256200862,2.9848068247632273
2.6518330840286954,5.676329738741432
2.589197910774985,5.067719551240576
2.8054438483450395,4.918430579939082
2.1429091200731185,4.960688033040652
2.782508962577279,5.303353407290611
3.163950073033496,4.620117087959279
3.2521214966274776,4.991446784428617
2.875274079616657,5.12138058249363
3.30831694033911,5.360188002904874
3.433743051479497,5.349442482594674
3.5841169083981392,4.891564094023258
3.3294190553918646,4.816814561557999
3.0108501064940136,5.3232166005346935
2.8203490276586343,4.930270440339898
2.7064885761033355,4.268969434514775
3.1709429901735398,5.505664426917988
3.4299791828322004,5.193937161903646
1.9388581723167488,5.105297349934806
2.957550483108373,4.83598928611208
3.0593348026314957,4.701322171233448
2.5418207633816294,5.631185480974331
3.013236435509154,5.290715597970557
3.0517644152000187,5.036801015386568
2.2168124050970706,4.716648217195465
2.5414899698719533,5.7044123564081755
2.7631521935717718,4.282015054465617
2.749712625742105,4.894045582660303
2.870738146491213,5.284542290947355
2.6817788366449666,5.1159655956039085
3.5887917510402874,4.482856387734712
1.6774060974608642,4.739113391103551
2.148902047221699,5.113276425126983
1.508564140423935,4.950167519803247
1.3607302500987106,5.234519351248828
1.890913639143342,4.690015080940379
1.2120091484313626,5.182112030656199
2.001701748188537,5.103575237903553
1.0785190381141196,5.034368147211188
1.1146192294884794,4.615578804929923
1.4810444119688697,5.104024913830564
0.6935521026462191,4.868871342710875
1.9926151215867347,5.16706548925149
1.8756712858839217,5.2069132042028565
1.5116451369339639,4.382295242287932
2.1741264654641603,5.217753420956178
2.000950585684128,5.345494489468971
1.4667324105101,5.194846245723297
1.2786976929062936,5.48958456131762
0.9867501470944664,5.320085918598417
1.2455273889914569,5.395967353892314
1.3368975008183477,5.516192316295651
1.7279833309245012,4.685266095641623
1.8146332840376256,5.319451794583241
1.3785213397859892,5.280904695526086
1.8121797284383216,5.646088015137824
1.1311508134364237,4.848675808963975
1.6371902448027642,4.637572926965102
1.3247669093804948,4.988080028648253
1.1652210011143627,5.1619559430163005
0.7299379874934828,4.4456655002411605
